;CODE;LOCATIONNAME;barrio;distrito;PRICE;AREA;ROOMNUMBER;BATHNUMBER;STATUS;STUDIO;ISPENTHOUSE;DUPLEX;SWIMMINGPOOL;ELEVATOR;X;Y
39;8,44881E+18;Cuatro Caminos;cuatro caminos;tetuan;261000;75;1;1;Second hand / Good state;0;0;0;0;1;440496;4478172
40;1,73503E+18;Lavapiés-Embajadores;embajadores;centro;436000;80;3;2;Second hand / Good state;0;0;0;0;0;440117;4473243
41;9,22337E+18;Arapiles;arapiles;chamberi;1486000;190;2;3;Second hand / Good state;0;0;0;0;1;439974;4475705
42;9,22337E+18;Pueblo Nuevo;pueblo nuevo;ciudad lineal;191000;65;2;1;Second hand / Good state;0;0;0;0;0;445566;4476286
43;9,22337E+18;Buena Vista;buenavista;carabanchel;94000;70;3;1;Second hand / Needs reformation;0;0;0;0;0;435983;4469451
44;9,22337E+18;Adelfas;adelfas;retiro;377000;110;4;2;Second hand / Needs reformation;0;0;0;0;1;443257;4473063
45;9,22337E+18;Costillares;costillares;ciudad lineal;342000;60;2;2;Second hand / Good state;0;0;0;1;1;443309;4479947
46;6,06918E+18;Ibiza;ibiza;retiro;809000;120;3;2;Second hand / Good state;0;1;0;0;1;442888;4474772
47;9,22337E+18;Timón;timon;barajas;368000;95;2;2;New development;0;0;0;1;1;450283;4480270
48;4,72695E+18;Puerta del Ángel;puerta del angel;latina;69000;55;3;1;Second hand / Needs reformation;0;0;0;0;0;437993;4473451
49;6,18554E+18;San Andrés;villaverde alto - casco historico de villaverde;villaverde;106000;40;1;1;Second hand / Good state;0;0;0;0;1;439932;4466461
50;9,22337E+18;Rosas;rosas;san blas - canillejas;245000;85;3;2;Second hand / Unknown;0;0;0;0;1;448457;4475574
51;9,22337E+18;Guindalera;guindalera;salamanca;660000;150;2;2;Second hand / Good state;0;0;0;1;1;443895;4476154
52;4,3334E+18;Timón;timon;barajas;243000;85;2;2;New development;0;0;0;1;1;450553;4480367
53;6,05956E+17;Lavapiés-Embajadores;embajadores;centro;236000;55;2;1;Second hand / Good state;0;0;0;0;0;440781;4473427
54;9,22337E+18;Berruguete;berruguete;tetuan;251000;65;2;2;Second hand / Good state;0;0;0;0;1;440056;4479287
55;9,22337E+18;Chueca-Justicia;justicia;centro;1739000;270;4;4;Second hand / Needs reformation;0;0;0;0;1;440942;4474673
56;9,22337E+18;Delicias;delicias;arganzuela;278000;100;3;1;Second hand / Needs reformation;0;0;0;0;1;441181;4472107
57;9,22337E+18;Abrantes;abrantes;carabanchel;162000;80;2;1;Second hand / Good state;0;0;0;0;0;438155;4470606
58;9,22337E+18;Palos de Moguer;palos de la frontera;arganzuela;213000;50;2;1;Second hand / Needs reformation;0;0;0;0;0;441123;4472908
59;9,22337E+18;Valdezarza;valdezarza;moncloa - aravaca;223000;55;2;1;Second hand / Good state;0;0;0;0;1;439694;4479138
60;4,11179E+18;Berruguete;berruguete;tetuan;124000;40;0;1;Second hand / Good state;1;0;0;0;0;439925;4478838
61;2,2607E+18;Arapiles;arapiles;chamberi;1235000;250;3;2;Second hand / Good state;0;0;0;1;1;439836;4475961
62;9,22337E+18;Rejas;rejas;san blas - canillejas;207000;90;2;1;Second hand / Good state;0;1;0;0;1;449483;4477682
63;3,65937E+18;Chueca-Justicia;justicia;centro;312000;55;1;1;Second hand / Good state;0;0;0;0;0;440547;4475016
64;2,42463E+18;Huertas-Cortes;cortes;centro;299000;80;1;1;Second hand / Good state;0;0;1;0;0;440316;4473945
65;9,22337E+18;Buena Vista;buenavista;carabanchel;239000;95;3;2;New development;0;0;0;0;1;436310;4469461
66;9,22337E+18;Atalaya;atalaya;ciudad lineal;428000;105;3;2;Second hand / Good state;0;0;0;1;1;443512;4479539
67;2,97958E+18;San Diego;san diego;puente de vallecas;136000;150;3;2;Second hand / Good state;0;0;0;0;0;443264;4471829
68;2,31609E+18;Argüelles;arguelles;moncloa - aravaca;238000;45;1;1;Second hand / Good state;0;0;0;0;1;438728;4475813
69;9,22337E+18;Lavapiés-Embajadores;embajadores;centro;209000;60;1;1;Second hand / Good state;0;0;0;0;0;439913;4473065
70;9,22337E+18;Pinar del Rey;pinar del rey;hortaleza;168000;55;2;1;Second hand / Good state;0;0;0;0;0;444839;4480378
71;9,22337E+18;Argüelles;arguelles;moncloa - aravaca;885000;255;9;3;Second hand / Needs reformation;0;0;0;0;1;439310;4475238
72;7,00754E+18;Nueva España;nueva espana;chamartin;625000;130;2;1;Second hand / Good state;0;0;0;0;1;442261;4478941
73;3,72562E+18;Lavapiés-Embajadores;embajadores;centro;121000;20;1;1;Second hand / Good state;0;0;0;0;0;440694;4473553
74;1,629E+18;Pacífico;pacifico;retiro;425000;60;2;1;Second hand / Needs reformation;0;1;0;0;1;442454;4473119
75;9,22337E+18;Lista;lista;salamanca;777000;115;2;2;Second hand / Good state;0;0;0;0;1;442505;4476295
76;8,60003E+17;Recoletos;recoletos;salamanca;664000;90;2;1;Second hand / Needs reformation;0;0;0;0;1;442244;4474940
77;9,22337E+18;Costillares;costillares;ciudad lineal;204000;50;0;1;Second hand / Good state;1;0;0;1;1;443759;4481342
78;9,22337E+18;Malasaña-Universidad;universidad;centro;395000;45;1;1;Second hand / Good state;0;0;0;0;1;440091;4474736
79;9,22337E+18;Ventas;ventas;ciudad lineal;123000;80;2;1;Second hand / Needs reformation;0;0;0;0;0;445015;4475624
80;1,40121E+18;Santa Eugenia;santa eugenia;villa de vallecas;246000;110;3;2;Second hand / Good state;0;0;0;0;1;447694;4470495
81;9,22337E+18;Cuzco-Castillejos;castillejos;tetuan;278000;75;3;1;Second hand / Good state;0;0;0;0;1;441081;4479211
82;5,03783E+16;Cuatro Caminos;cuatro caminos;tetuan;286000;80;3;1;Second hand / Needs reformation;0;0;0;0;1;440928;4478404
83;9,22337E+18;Lavapiés-Embajadores;embajadores;centro;479000;95;3;2;New development;0;0;0;0;1;440682;4473256
84;6,4507E+18;Costillares;costillares;ciudad lineal;1211000;270;5;5;Second hand / Good state;0;0;0;1;1;443488;4480407
85;9,22337E+18;Valdeacederas;valdeacederas;tetuan;156000;55;2;1;Second hand / Good state;0;0;0;0;0;440581;4479787
86;5,26732E+18;San Juan Bautista;san juan bautista;ciudad lineal;785000;165;4;3;Second hand / Needs reformation;0;0;0;1;1;444149;4478300
87;9,22337E+18;Legazpi;legazpi;arganzuela;288000;65;1;1;Second hand / Good state;0;0;0;0;1;441138;4470968
88;9,22337E+18;Cuatro Caminos;cuatro caminos;tetuan;1383000;315;5;4;Second hand / Good state;0;0;0;0;1;440977;4477770
89;6,98525E+18;Moscardó;moscardo;usera;278000;90;2;1;Second hand / Good state;0;0;0;0;1;440531;4471144
90;9,22337E+18;San Cristóbal;san cristobal;villaverde;67000;75;3;1;Second hand / Unknown;0;0;0;0;0;441894;4466176
91;8,71156E+18;Vista Alegre;vista alegre;carabanchel;154000;70;3;1;Second hand / Good state;0;0;0;0;0;436933;4471385
92;6,24207E+18;Buena Vista;buenavista;carabanchel;140000;80;3;1;Second hand / Needs reformation;0;0;0;0;1;436570;4469316
93;2,8309E+18;Pueblo Nuevo;pueblo nuevo;ciudad lineal;225000;80;2;2;Second hand / Good state;0;0;0;0;1;445615;4475398
94;2,41722E+17;Casco Histórico de Vallecas;casco historico de vallecas;villa de vallecas;109000;65;2;1;Second hand / Good state;0;0;0;0;0;446987;4470031
95;3,71852E+18;Pueblo Nuevo;pueblo nuevo;ciudad lineal;140000;80;3;1;Second hand / Needs reformation;0;0;0;0;0;445224;4475599
96;3,97816E+18;Guindalera;guindalera;salamanca;293000;70;2;1;Second hand / Good state;0;0;0;0;0;443512;4476605
97;1,9158E+17;Prosperidad;prosperidad;chamartin;387000;70;2;2;Second hand / Good state;0;0;0;0;1;442885;4476807
98;9,22337E+18;Trafalgar;trafalgar;chamberi;415000;80;2;1;Second hand / Good state;0;0;0;0;1;440639;4475925
99;1,91317E+18;Nueva España;nueva espana;chamartin;833000;140;3;3;Second hand / Good state;0;0;0;0;1;441645;4479188
100;1,49669E+18;Vinateros;vinateros;moratalaz;173000;65;3;1;Second hand / Good state;0;0;0;0;1;445075;4473091
101;8,74058E+18;Acacias;acacias;arganzuela;453000;90;2;2;Second hand / Good state;0;0;0;1;1;439869;4472633
102;6,23731E+18;Moscardó;moscardo;usera;111000;145;4;2;Second hand / Good state;0;0;0;0;1;440368;4470958
103;9,22337E+18;Canillas;canillas;hortaleza;215000;55;1;1;Second hand / Good state;0;0;0;0;0;444277;4479255
104;7,42693E+17;Las Tablas;valverde;fuencarral - el pardo;240000;65;1;1;Second hand / Good state;0;0;0;1;1;442630;4484829
105;9,22337E+18;Guindalera;guindalera;salamanca;506000;160;5;2;Second hand / Good state;0;0;0;0;1;443825;4476756
106;2,76777E+18;Malasaña-Universidad;universidad;centro;279000;85;4;1;Second hand / Good state;0;0;0;0;1;439854;4475570
107;9,67156E+17;Las Tablas;valverde;fuencarral - el pardo;512000;100;2;2;Second hand / Good state;0;1;0;1;1;442969;4483444
108;9,22337E+18;Chopera;chopera;arganzuela;440000;130;3;3;Second hand / Good state;0;0;0;0;1;440946;4471992
109;9,22337E+18;Estrella;estrella;retiro;492000;145;4;2;Second hand / Needs reformation;0;0;0;0;1;443161;4473287
110;9,22337E+18;Goya;goya;salamanca;469000;75;1;1;Second hand / Good state;0;0;0;0;1;442410;4474937
111;6,08617E+18;Los Cármenes;los carmenes;latina;169000;85;4;2;Second hand / Good state;0;0;0;0;1;437054;4471833
112;3,77794E+18;Buena Vista;buenavista;carabanchel;171000;65;1;1;New development;0;0;0;1;1;435623;4468792
113;7,90043E+18;Almagro;almagro;chamberi;1324000;215;3;3;Second hand / Good state;0;0;0;0;1;441278;4475587
114;9,22337E+18;Abrantes;abrantes;carabanchel;308000;110;3;2;Second hand / Good state;0;0;0;1;1;438423;4469565
115;4,47848E+17;Trafalgar;trafalgar;chamberi;341000;70;2;1;Second hand / Good state;0;0;0;0;1;440759;4475673
116;3,09026E+18;Delicias;delicias;arganzuela;271000;65;1;1;Second hand / Good state;0;0;0;1;1;442180;4471935
117;5,39027E+18;Pueblo Nuevo;pueblo nuevo;ciudad lineal;177000;60;2;1;Second hand / Good state;0;0;0;0;1;446511;4475228
118;9,22337E+18;San Diego;san diego;puente de vallecas;124000;75;3;1;Second hand / Good state;0;0;0;0;0;443446;4471106
119;5,14277E+18;Peñagrande;penagrande;fuencarral - el pardo;343000;100;3;2;Second hand / Good state;0;0;0;0;1;439086;4480860
120;9,22337E+18;Arapiles;arapiles;chamberi;1208000;275;4;3;Second hand / Good state;0;0;0;1;1;439822;4475913
121;3,85555E+18;Valdeacederas;valdeacederas;tetuan;204000;55;1;1;Second hand / Good state;0;0;0;0;1;440521;4479504
122;9,22337E+18;Puerta Bonita;puerta bonita;carabanchel;104000;120;4;2;Second hand / Good state;0;0;0;0;1;437472;4469849
123;1,55481E+18;Acacias;acacias;arganzuela;144000;35;2;1;Second hand / Good state;0;0;0;0;1;440249;4472904
124;3,98076E+17;San Isidro;san isidro;carabanchel;149000;60;0;1;Second hand / Good state;1;0;0;0;0;438149;4471376
125;9,22337E+18;Campo de las Naciones-Corralejos;corralejos;barajas;379000;195;2;2;Second hand / Good state;0;1;0;1;1;449639;4479459
126;3,73697E+18;Castellana;castellana;salamanca;734000;135;3;2;Second hand / Good state;0;0;0;0;1;442302;4475624
127;3,36373E+18;Ciudad Jardín;ciudad jardin;chamartin;262000;85;1;1;Second hand / Good state;0;0;1;0;1;442716;4477487
128;9,22337E+18;Cuzco-Castillejos;castillejos;tetuan;862000;220;5;4;Second hand / Needs reformation;0;0;0;0;1;441264;4479049
129;4,95253E+18;Fuente del Berro;fuente del berro;salamanca;655000;155;4;2;Second hand / Good state;0;0;0;0;1;443426;4475226
130;2,81649E+18;Niño Jesús;nino jesus;retiro;386000;100;3;1;Second hand / Needs reformation;0;0;0;0;1;443166;4474210
131;2,45279E+18;Casco Histórico de Vallecas;casco historico de vallecas;villa de vallecas;134000;80;3;1;Second hand / Good state;0;0;0;0;0;446817;4469916
132;9,22337E+18;Vista Alegre;vista alegre;carabanchel;91000;55;2;1;Second hand / Good state;0;0;0;0;0;437088;4470999
133;5,37438E+18;Puerta Bonita;puerta bonita;carabanchel;146000;80;3;1;Second hand / Good state;0;0;0;0;0;437943;4470563
134;2,32377E+18;Delicias;delicias;arganzuela;254000;65;2;1;Second hand / Needs reformation;0;0;0;0;1;440832;4472187
135;9,22337E+18;Argüelles;arguelles;moncloa - aravaca;858000;235;4;2;Second hand / Good state;0;0;0;0;1;439405;4475330
136;9,22337E+18;Aravaca;aravaca;moncloa - aravaca;936000;165;4;4;New development;0;1;1;1;1;432572;4479348
137;4,1615E+18;Puerta Bonita;puerta bonita;carabanchel;239000;95;2;1;Second hand / Good state;0;1;0;0;1;437753;4470615
138;8,16612E+18;Puerta del Ángel;puerta del angel;latina;166000;70;3;1;Second hand / Good state;0;0;0;0;1;438302;4473501
139;9,22337E+18;Huertas-Cortes;cortes;centro;433000;80;2;1;Second hand / Good state;0;0;0;0;1;440944;4473554
140;5,37238E+18;Guindalera;guindalera;salamanca;290000;60;2;1;Second hand / Needs reformation;0;0;0;0;1;443025;4476145
141;7,15656E+18;Lavapiés-Embajadores;embajadores;centro;205000;40;2;1;Second hand / Good state;0;0;0;0;1;440706;4473465
142;4,85675E+18;Ensanche de Vallecas - La Gavia;ensanche de vallecas;villa de vallecas;163000;65;2;1;Second hand / Good state;0;0;0;0;1;446775;4469410
143;1,99702E+18;Berruguete;berruguete;tetuan;257000;70;2;1;Second hand / Good state;0;0;0;0;1;440294;4479212
144;9,22337E+18;Nueva España;nueva espana;chamartin;940000;240;5;3;Second hand / Good state;0;0;0;0;1;443407;4479319
145;8,4982E+18;Huertas-Cortes;cortes;centro;346000;90;3;1;Second hand / Good state;0;0;0;0;1;441081;4473703
146;9,22337E+18;Puerta del Ángel;puerta del angel;latina;169000;80;2;2;Second hand / Good state;0;0;0;0;1;437392;4472935
147;5,99824E+18;Arapiles;arapiles;chamberi;374000;70;3;1;Second hand / Needs reformation;0;0;0;0;1;440184;4476299
148;9,22337E+18;Ciudad Jardín;ciudad jardin;chamartin;438000;100;4;2;Second hand / Good state;0;0;0;0;1;442884;4477723
149;9,22337E+18;Lista;lista;salamanca;485000;80;2;1;Second hand / Good state;0;0;0;0;1;442604;4475569
150;9,22337E+18;Valdeacederas;valdeacederas;tetuan;74000;35;2;1;Second hand / Needs reformation;0;0;0;0;0;440574;4479769
151;9,22337E+18;Valdeacederas;valdeacederas;tetuan;454000;150;2;2;Second hand / Good state;0;1;0;0;1;440263;4479461
152;9,22337E+18;Casa de Campo;casa de campo;moncloa - aravaca;193000;80;3;1;Second hand / Good state;0;0;0;0;1;436058;4473252
153;3,0076E+18;Pinar del Rey;pinar del rey;hortaleza;269000;85;3;1;Second hand / Unknown;0;0;0;1;1;445130;4480096
154;9,22337E+18;Quintana;quintana;ciudad lineal;249000;70;2;1;Second hand / Good state;0;0;0;0;1;444908;4476060
155;9,22337E+18;Pacífico;pacifico;retiro;530000;145;4;2;Second hand / Good state;0;1;0;0;1;442724;4473123
156;9,22337E+18;Bellas Vistas;bellas vistas;tetuan;361000;95;4;1;Second hand / Good state;0;0;0;0;0;440344;4478297
157;9,22337E+18;Valdebebas - Valdefuentes;valdefuentes;hortaleza;601000;180;4;3;New development;0;0;0;1;1;448451;4482498
158;9,22337E+18;Lavapiés-Embajadores;embajadores;centro;288000;70;3;1;Second hand / Good state;0;0;0;0;0;440167;4473496
159;1,85255E+17;Pueblo Nuevo;pueblo nuevo;ciudad lineal;186000;85;4;1;Second hand / Unknown;0;0;0;0;0;445823;4476150
160;9,22337E+18;Delicias;delicias;arganzuela;666000;140;4;3;New development;0;0;0;1;1;442047;4472324
161;9,22337E+18;Chueca-Justicia;justicia;centro;179000;35;0;1;Second hand / Good state;1;0;0;0;0;441130;4474946
162;9,22337E+18;Simancas;simancas;san blas - canillejas;203000;65;1;1;Second hand / Unknown;0;0;0;0;1;447204;4476636
163;4,70592E+18;Goya;goya;salamanca;754000;75;2;2;Second hand / Good state;0;0;0;1;1;442540;4475434
164;9,18376E+18;Recoletos;recoletos;salamanca;415000;40;0;1;Second hand / Good state;1;0;0;0;1;441729;4475476
165;6,872E+18;Guindalera;guindalera;salamanca;340000;70;2;1;Second hand / Good state;0;0;0;0;1;442632;4476516
166;8,63294E+18;Jerónimos;los jeronimos;retiro;1480000;150;3;3;Second hand / Good state;0;0;0;0;1;441546;4473328
167;8,84336E+18;Rejas;rejas;san blas - canillejas;322000;100;2;2;Second hand / Good state;0;0;0;1;1;451126;4476978
168;2,95395E+18;Lista;lista;salamanca;414000;65;2;2;Second hand / Good state;0;0;0;0;1;442550;4475767
169;4,721E+18;Campo de las Naciones-Corralejos;corralejos;barajas;448000;125;3;2;Second hand / Good state;0;0;0;1;1;450269;4479803
170;9,22337E+18;Puerta Bonita;puerta bonita;carabanchel;64000;50;2;1;Second hand / Needs reformation;0;0;0;0;0;437895;4470587
171;9,22337E+18;Entrevías;entrevias;puente de vallecas;129000;90;3;1;Second hand / Good state;0;0;0;0;0;443716;4469946
172;9,22337E+18;Chopera;chopera;arganzuela;310000;75;2;1;Second hand / Good state;0;0;0;0;1;440601;4471783
173;3,94412E+18;Lavapiés-Embajadores;embajadores;centro;454000;80;2;1;New development;0;0;0;1;1;440503;4473241
174;9,22337E+18;Vallehermoso;vallehermoso;chamberi;258000;45;1;1;Second hand / Good state;0;1;1;0;1;439964;4476859
175;5,42374E+18;Lavapiés-Embajadores;embajadores;centro;235000;55;1;1;Second hand / Good state;0;0;0;0;0;440105;4473206
176;9,22337E+18;Gaztambide;gaztambide;chamberi;555000;110;3;2;Second hand / Good state;0;0;0;0;1;439642;4476609
177;9,22337E+18;Imperial;imperial;arganzuela;177000;55;1;1;Second hand / Good state;0;0;0;0;0;439310;4473248
178;9,22337E+18;Puerta del Ángel;puerta del angel;latina;185000;45;2;1;Second hand / Good state;0;0;0;0;0;438088;4473905
179;9,22337E+18;Portazgo;portazgo;puente de vallecas;173000;150;3;2;Second hand / Good state;0;0;1;0;0;444914;4471264
180;4,89191E+18;Nuevos Ministerios-Ríos Rosas;rios rosas;chamberi;1476000;250;4;4;Second hand / Unknown;0;0;0;0;1;441060;4476741
181;9,22337E+18;Arapiles;arapiles;chamberi;187000;35;0;1;Second hand / Good state;1;0;0;0;1;439727;4475864
182;9,22337E+18;San Andrés;villaverde alto - casco historico de villaverde;villaverde;76000;55;2;1;Second hand / Good state;0;0;0;0;0;440137;4466237
183;3,02463E+18;Gaztambide;gaztambide;chamberi;639000;185;4;2;Second hand / Needs reformation;0;0;0;0;1;439229;4476155
184;9,22337E+18;Ensanche de Vallecas - La Gavia;ensanche de vallecas;villa de vallecas;209000;70;1;1;Second hand / Good state;0;0;0;1;1;448407;4469551
185;1,38998E+17;San Isidro;san isidro;carabanchel;97000;85;3;1;Second hand / Unknown;0;0;0;0;0;437633;4471898
186;9,22337E+18;Ventas;ventas;ciudad lineal;166000;65;2;1;Second hand / Good state;0;0;0;0;0;444999;4475943
187;6,38731E+18;Goya;goya;salamanca;1135000;175;3;4;Second hand / Good state;0;0;0;0;1;442691;4474899
188;9,22337E+18;Huertas-Cortes;cortes;centro;275000;50;1;1;Second hand / Good state;0;0;0;0;0;441078;4473880
189;9,22337E+18;Canillejas;canillejas;san blas - canillejas;128000;75;3;1;Second hand / Good state;0;0;0;0;0;448212;4476515
190;9,22337E+18;Recoletos;recoletos;salamanca;2340000;275;4;5;Second hand / Good state;0;0;0;0;1;441876;4474830
191;9,22337E+18;Lavapiés-Embajadores;embajadores;centro;203000;40;2;1;Second hand / Good state;0;0;0;0;0;440997;4473321
192;9,22337E+18;Canillas;canillas;hortaleza;768000;135;3;2;Second hand / Good state;0;1;1;0;1;444858;4479493
193;9,22337E+18;Nueva España;nueva espana;chamartin;396000;40;1;1;Second hand / Good state;0;0;0;1;1;442464;4478906
194;9,22337E+18;Ventilla-Almenara;almenara;tetuan;189000;110;4;2;Second hand / Good state;0;0;0;0;0;441100;4479741
195;4,85008E+18;Tres Olivos - Valverde;valverde;fuencarral - el pardo;258000;55;1;1;Second hand / Good state;0;0;0;0;0;441620;4483368
196;9,22337E+18;Chueca-Justicia;justicia;centro;939000;220;5;2;Second hand / Good state;0;0;0;0;0;440983;4475109
197;4,75255E+18;Canillejas;canillejas;san blas - canillejas;162000;75;3;1;Second hand / Needs reformation;0;0;0;0;0;448493;4476917
198;4,77183E+18;Palomeras sureste;palomeras sureste;puente de vallecas;352000;140;4;2;Second hand / Good state;0;0;0;1;1;446546;4470390
199;2,94727E+18;Media Legua;media legua;moratalaz;155000;70;2;1;Second hand / Good state;0;0;0;0;1;443976;4473885
200;5,98246E+18;Lavapiés-Embajadores;embajadores;centro;850000;260;5;1;Second hand / Needs reformation;0;0;0;0;0;440553;4473658
201;9,22337E+18;Palomeras Bajas;palomeras bajas;puente de vallecas;136000;75;3;1;Second hand / Good state;0;0;0;0;1;444384;4470523
202;9,22337E+18;Valdebernardo - Valderribas;valdebernardo;vicalvaro;336000;105;4;2;Second hand / Good state;0;0;0;1;1;448700;4472161
203;1,09647E+18;Argüelles;arguelles;moncloa - aravaca;1400000;325;7;3;Second hand / Needs reformation;0;0;0;0;1;439012;4475733
204;9,22337E+18;Lista;lista;salamanca;337000;45;1;1;Second hand / Good state;0;0;0;0;1;442737;4476084
205;6,85021E+18;San Diego;san diego;puente de vallecas;97000;35;2;1;Second hand / Good state;0;0;0;0;1;443200;4471991
206;6,55657E+18;Palacio;palacio;centro;192000;50;1;1;Second hand / Good state;0;0;0;0;0;439159;4473540
207;4,81284E+18;Niño Jesús;nino jesus;retiro;462000;110;4;2;Second hand / Good state;0;0;0;0;1;442975;4474137
208;9,15905E+18;Arapiles;arapiles;chamberi;249000;50;2;1;Second hand / Good state;0;0;0;0;1;439738;4476503
209;9,22337E+18;San Isidro;san isidro;carabanchel;89000;50;2;1;Second hand / Good state;0;0;0;0;0;437552;4471869
210;4,97929E+18;Gaztambide;gaztambide;chamberi;599000;125;3;2;Second hand / Needs reformation;0;0;0;0;1;439315;4475875
211;9,22337E+18;Nuevos Ministerios-Ríos Rosas;rios rosas;chamberi;649000;155;3;3;Second hand / Good state;0;0;0;0;1;440897;4476828
212;9,22337E+18;Nueva España;nueva espana;chamartin;840000;200;2;2;Second hand / Good state;0;1;0;0;1;441894;4479436
